date,USDJPY_Close,USDJPY_return,USDJPY_sma_5,USDJPY_sma_20,USDJPY_sma_50,USDJPY_ema_20,USDJPY_macd_line,USDJPY_macd_signal,USDJPY_macd_hist,USDJPY_rsi_14,USDJPY_roc_5,USDJPY_roc_20,USDJPY_price_vs_sma20,USDJPY_atr_14,USDJPY_stoch_k,USDJPY_stoch_d,JPYUSD_Close,JPYUSD_return,JPYUSD_rsi_14,JPYUSD_macd_hist,EURUSD_Close,EURUSD_return,GBPUSD_Close,GBPUSD_return,AUDUSD_Close,AUDUSD_return,usa_sentiment_mean,usa_sentiment_std,usa_sentiment_ma3,usa_sentiment_ma5,usa_sentiment_ma7,usa_sentiment_ma10,usa_sentiment_ma20,usa_sentiment_volatility_7d,usa_sentiment_volatility_20d,usa_sentiment_momentum_3d,usa_sentiment_momentum_5d,usa_sentiment_momentum_10d,usa_sentiment_trend_short,usa_sentiment_trend_medium,usa_sentiment_ema5,usa_sentiment_ema20,usa_article_count,japan_sentiment_mean,japan_sentiment_std,japan_sentiment_ma3,japan_sentiment_ma5,japan_sentiment_ma7,japan_sentiment_ma10,japan_sentiment_ma20,japan_sentiment_volatility_7d,japan_sentiment_volatility_20d,japan_sentiment_momentum_3d,japan_sentiment_momentum_5d,japan_sentiment_momentum_10d,japan_sentiment_trend_short,japan_sentiment_trend_medium,japan_sentiment_ema5,japan_sentiment_ema20,japan_article_count,sentiment_divergence,sentiment_divergence_ma5,sentiment_combined,sentiment_combined_ma7,volatility_percentile,price_momentum_20d,price_momentum_60d
2006-08-07,115.11000061035156,0.0055031205009115,114.75,115.7175003051758,114.99410003662112,115.34152821027764,-0.1071149369497277,0.1065078173786817,-0.2136227543284095,48.382519182681925,0.5239703632240545,0.7086592624384951,-0.0052498515196242,0.9757583450246208,21.715539365218444,17.650171423372605,0.0086873424958532,-0.0054730019118921,51.53330322943849,1.6045343828526183e-05,1.2819033861160278,-0.0046533313068594,1.904798150062561,-0.0026095460347428,0.7634170055389404,-0.0028246786335378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.006680931728452855,0.04411136210602917
2006-08-08,115.69000244140624,0.005038674554594,114.9760009765625,115.78700027465824,115.06490005493164,115.3747162322899,-0.0613833921125746,0.0729295754804305,-0.1343129675930051,52.69541652569228,0.986386964816851,1.216097421291417,-0.0008377264547997,0.9853470782622596,30.33954678063812,22.62823997343739,0.0086437892548794,-0.0050134135950768,47.226274529854045,1.0080209415696117e-05,1.2766989469528198,-0.0040599308961782,1.8981095552444456,-0.0035114454609774,0.7579202651977539,-0.0072001806369326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.006680931728452855,0.04411136210602917
2006-08-09,115.36000061035156,-0.0028524662813609,115.13600158691406,115.78950042724613,115.12150009155272,115.37331474448624,-0.0511792407475297,0.0481078122348384,-0.0992870529823682,50.128966931377896,0.6983267011232454,0.0433640211746511,-0.0037093157437397,0.9792509673777344,39.6043423419933,30.55314282928329,0.0086685159042055,0.0028606261209043,49.79189880806494,7.443947590224705e-06,1.2874983549118042,0.0084588524058548,1.9062869548797607,0.0043081810597924,0.7658727169036865,0.0104924648028215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.006680931728452855,0.04411136210602917
2006-08-10,115.16000366210938,-0.0017336767266299,115.16000213623046,115.78050079345704,115.17510009765624,115.3529994033075,-0.058555468560641,0.0267751560757425,-0.0853306246363836,48.58460090421968,0.1043139304824484,-0.1560539981759303,-0.0053592541671121,0.9750186246325614,41.432246455440094,37.12537852602384,0.0086835704081262,0.0017366875814803,51.34288357904881,6.398135826443927e-06,1.2792959213256836,-0.0063708303430667,1.8943339586257928,-0.0062703027072448,0.7685213685035706,0.0034583443716236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.006680931728452855,0.04411136210602917
2006-08-11,116.27999877929688,0.0097255564568552,115.52000122070314,115.79050064086914,115.2661000061035,115.44128505816364,0.0256770741940357,0.0265555396994011,-0.0008784655053654,56.64064354678432,1.5723229992849774,0.1722923372565772,0.0042274464288392,0.9946601514445214,47.25937078028591,42.76531985923977,0.0085999312908321,-0.0096318810538841,43.33371657034809,9.10315445819986e-08,1.2725075483322144,-0.0053063352116644,1.8907880783081048,-0.0018718348480962,0.7668711543083191,-0.0021472587007758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.006680931728452855,0.04411136210602917
2006-08-14,116.5999984741211,0.0027519753885756,115.81800079345705,115.76650047302246,115.35130004882812,115.55163871682625,0.1169056565753265,0.0446255630745862,0.0722800935007403,58.63489884297268,1.2944121760655602,-0.4099789455300998,0.0071998203080594,0.9643272616859284,61.206800302252304,49.9661391793261,0.0085763294432799,-0.0027444228045589,41.372437277442046,-5.35188931337349e-06,1.2722970247268677,-0.0001654399658552,1.888502836227417,-0.0012086188330173,0.7599939703941345,-0.0089678479566589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.006680931728452855,0.04411136210602917
2006-08-15,115.94000244140624,-0.0056603434078204,115.86800079345704,115.69700050354004,115.40580017089844,115.58862573821482,0.1343995272663107,0.0625803559129311,0.0718191713533795,53.200062020764726,0.2160947313719852,-1.1846922082639355,0.0021003304909255,0.956518411346476,73.46906481540007,60.64507863264609,0.0086251507585173,0.0056925652821853,46.74208531226963,-5.333754744027328e-06,1.2790995836257937,0.0053466751605319,1.8945852518081665,0.0032207606279799,0.7652280330657959,0.0068869792071468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.006680931728452855,0.04411136210602917
2006-08-16,115.875,-0.0005606558568004,115.97100067138672,115.64925041198732,115.45470016479491,115.61589947743246,0.1413885528263989,0.0783419952956247,0.0630465575307742,52.68213718060528,0.4464280399823656,-0.8174285851982445,0.0019520194658286,0.938909887998346,73.87451404182046,69.51679305315761,0.0086299892125134,0.0005609703681206,47.2576524887594,-4.688413821628194e-06,1.2843070030212402,0.0040711602615688,1.8963098526000977,0.000910278801276,0.7688168287277222,0.0046898382009714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.006680931728452855,0.04411136210602917
2006-08-17,115.9000015258789,0.0002157628986312,116.11900024414062,115.59625053405765,115.49400024414062,115.64295681537976,0.1472474432603689,0.0921230848885736,0.0551243583717953,52.87218087962479,0.6425823551905718,-0.906290669366526,0.0026276889641136,0.9404162591750824,69.72476379260783,72.35611421660946,0.0086281275826964,-0.000215716355045,47.068850706241626,-4.100679798537618e-06,1.283202886581421,-0.0008596982164092,1.8852983713150024,-0.0058067943221393,0.7617886662483215,-0.0091415304878682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.006680931728452855,0.04411136210602917
2006-08-18,115.7699966430664,-0.0011216987152797,116.01699981689453,115.57875022888186,115.53020019531247,115.655055846588,0.1397889486095067,0.1016562576327602,0.0381326909767465,51.709196253056085,-0.4385983329759652,-0.3014175811548037,0.0016546849122855,0.9175295797041492,67.64518681942236,70.41482155128355,0.0086378166104912,0.0011229583362017,48.22815944548167,-2.8333803894906665e-06,1.2828078269958496,-0.0003078699321069,1.8817152976989744,-0.0019005339794193,0.7605140805244446,-0.0016731487095418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.006680931728452855,0.04411136210602917
